"alpha"	"gamma"	"alphaM"	"gammaM"	"a"	"b"
4.3164	-62.6823	4.32	-62.7	4.32	-62.7
4.3197	-62.6806	4.32	-62.7	4.32	-62.7
4.3231	-62.6789	4.32	-62.7	4.32	-62.7
4.3264	-62.6772	4.32	-62.7	4.32	-62.7
4.3298	-62.6756	4.32	-62.7	4.32	-62.7
4.3331	-62.6739	4.32	-62.7	4.32	-62.7
4.3365	-62.6722	4.32	-62.7	4.32	-62.7
4.3398	-62.6705	4.32	-62.7	4.32	-62.7
4.3432	-62.6688	4.32	-62.64	4.32	-62.64
4.3466	-62.6672	4.32	-62.64	4.32	-62.64
4.3499	-62.6655	4.32	-62.64	4.32	-62.64
4.3533	-62.6638	4.38	-62.64	4.38	-62.64
4.3566	-62.6621	4.38	-62.64	4.38	-62.64
4.36	-62.6604	4.38	-62.64	4.38	-62.64
4.3633	-62.6587	4.38	-62.64	4.38	-62.64
4.3667	-62.6571	4.38	-62.64	4.38	-62.64
4.37	-62.6554	4.38	-62.64	4.38	-62.64
4.3734	-62.6537	4.38	-62.64	4.38	-62.64
4.3767	-62.652	4.38	-62.64	4.38	-62.64
4.3801	-62.6503	4.38	-62.64	4.38	-62.64
4.3834	-62.6487	4.38	-62.64	4.38	-62.64
4.3868	-62.647	4.38	-62.64	4.38	-62.64
4.3901	-62.6453	4.38	-62.64	4.38	-62.64
4.3935	-62.6436	4.38	-62.64	4.38	-62.64
4.3968	-62.6419	4.38	-62.64	4.38	-62.64
4.4002	-62.6403	4.38	-62.64	4.38	-62.64
4.4035	-62.6386	4.38	-62.64	4.38	-62.64
4.4069	-62.6369	4.38	-62.64	4.38	-62.64
4.4102	-62.6352	4.44	-62.64	4.44	-62.64
4.4136	-62.6335	4.44	-62.64	4.44	-62.64
4.4169	-62.6318	4.44	-62.64	4.44	-62.64
4.4203	-62.6302	4.44	-62.64	4.44	-62.64
4.4236	-62.6285	4.44	-62.64	4.44	-62.64
4.427	-62.6268	4.44	-62.64	4.44	-62.64
4.4304	-62.6251	4.44	-62.64	4.44	-62.64
4.4337	-62.6234	4.44	-62.64	4.44	-62.64
4.4371	-62.6217	4.44	-62.64	4.44	-62.64
4.4404	-62.6201	4.44	-62.64	4.44	-62.64
4.4438	-62.6184	4.44	-62.64	4.44	-62.64
4.4471	-62.6167	4.44	-62.64	4.44	-62.64
4.4505	-62.615	4.44	-62.64	4.44	-62.64
4.4538	-62.6133	4.44	-62.64	4.44	-62.64
4.4572	-62.6116	4.44	-62.64	4.44	-62.64
4.4605	-62.61	4.44	-62.64	4.44	-62.64
4.4639	-62.6083	4.44	-62.58	4.44	-62.58
4.4672	-62.6066	4.44	-62.58	4.44	-62.58
4.4706	-62.6049	4.5	-62.58	4.5	-62.58
4.4739	-62.6032	4.5	-62.58	4.5	-62.58
4.4773	-62.6015	4.5	-62.58	4.5	-62.58
4.4806	-62.5998	4.5	-62.58	4.5	-62.58
4.484	-62.5982	4.5	-62.58	4.5	-62.58
4.4874	-62.5965	4.5	-62.58	4.5	-62.58
4.4907	-62.5948	4.5	-62.58	4.5	-62.58
4.4941	-62.5931	4.5	-62.58	4.5	-62.58
4.4974	-62.5914	4.5	-62.58	4.5	-62.58
4.5008	-62.5897	4.5	-62.58	4.5	-62.58
4.5041	-62.588	4.5	-62.58	4.5	-62.58
4.5075	-62.5864	4.5	-62.58	4.5	-62.58
4.5108	-62.5847	4.5	-62.58	4.5	-62.58
4.5142	-62.583	4.5	-62.58	4.5	-62.58
4.5175	-62.5813	4.5	-62.58	4.5	-62.58
4.5209	-62.5796	4.5	-62.58	4.5	-62.58
4.5242	-62.5779	4.5	-62.58	4.5	-62.58
4.5276	-62.5762	4.5	-62.58	4.5	-62.58
4.5309	-62.5746	4.56	-62.58	4.56	-62.58
4.5343	-62.5729	4.56	-62.58	4.56	-62.58
4.5376	-62.5712	4.56	-62.58	4.56	-62.58
4.541	-62.5695	4.56	-62.58	4.56	-62.58
4.5444	-62.5678	4.56	-62.58	4.56	-62.58
4.5477	-62.5661	4.56	-62.58	4.56	-62.58
4.5511	-62.5644	4.56	-62.58	4.56	-62.58
4.5544	-62.5627	4.56	-62.58	4.56	-62.58
4.5578	-62.5611	4.56	-62.58	4.56	-62.58
4.5611	-62.5594	4.56	-62.58	4.56	-62.58
4.5645	-62.5577	4.56	-62.58	4.56	-62.58
4.5678	-62.556	4.56	-62.58	4.56	-62.58
4.5712	-62.5543	4.56	-62.58	4.56	-62.58
4.5745	-62.5526	4.56	-62.58	4.56	-62.58
4.5779	-62.5509	4.56	-62.58	4.56	-62.58
4.5812	-62.5492	4.56	-62.52	4.56	-62.52
4.5846	-62.5476	4.56	-62.52	4.56	-62.52
4.588	-62.5459	4.56	-62.52	4.56	-62.52
4.5913	-62.5442	4.62	-62.52	4.62	-62.52
4.5947	-62.5425	4.62	-62.52	4.62	-62.52
4.598	-62.5408	4.62	-62.52	4.62	-62.52
4.6014	-62.5391	4.62	-62.52	4.62	-62.52
4.6047	-62.5374	4.62	-62.52	4.62	-62.52
4.6081	-62.5357	4.62	-62.52	4.62	-62.52
4.6114	-62.534	4.62	-62.52	4.62	-62.52
4.6148	-62.5324	4.62	-62.52	4.62	-62.52
4.6181	-62.5307	4.62	-62.52	4.62	-62.52
4.6215	-62.529	4.62	-62.52	4.62	-62.52
4.6248	-62.5273	4.62	-62.52	4.62	-62.52
4.6282	-62.5256	4.62	-62.52	4.62	-62.52
4.6316	-62.5239	4.62	-62.52	4.62	-62.52
4.6349	-62.5222	4.62	-62.52	4.62	-62.52
4.6383	-62.5205	4.62	-62.52	4.62	-62.52
4.6416	-62.5188	4.62	-62.52	4.62	-62.52
4.645	-62.5171	4.62	-62.52	4.62	-62.52
4.6483	-62.5155	4.62	-62.52	4.62	-62.52
4.6517	-62.5138	4.68	-62.52	4.68	-62.52
4.655	-62.5121	4.68	-62.52	4.68	-62.52
4.6584	-62.5104	4.68	-62.52	4.68	-62.52
4.6617	-62.5087	4.68	-62.52	4.68	-62.52
4.6651	-62.507	4.68	-62.52	4.68	-62.52
4.6685	-62.5053	4.68	-62.52	4.68	-62.52
4.6718	-62.5036	4.68	-62.52	4.68	-62.52
4.6752	-62.5019	4.68	-62.52	4.68	-62.52
4.6785	-62.5002	4.68	-62.52	4.68	-62.52
4.6819	-62.4985	4.68	-62.52	4.68	-62.52
4.6852	-62.4968	4.68	-62.52	4.68	-62.52
4.6886	-62.4952	4.68	-62.52	4.68	-62.52
4.6919	-62.4935	4.68	-62.52	4.68	-62.52
4.6953	-62.4918	4.68	-62.52	4.68	-62.52
4.6986	-62.4901	4.68	-62.52	4.68	-62.52
4.702	-62.4884	4.68	-62.46	4.68	-62.46
4.7054	-62.4867	4.68	-62.46	4.68	-62.46
4.7087	-62.485	4.68	-62.46	4.68	-62.46
4.7121	-62.4833	4.74	-62.46	4.74	-62.46
4.7154	-62.4816	4.74	-62.46	4.74	-62.46
4.7188	-62.4799	4.74	-62.46	4.74	-62.46
4.7221	-62.4782	4.74	-62.46	4.74	-62.46
4.7255	-62.4765	4.74	-62.46	4.74	-62.46
4.7288	-62.4748	4.74	-62.46	4.74	-62.46
4.7322	-62.4731	4.74	-62.46	4.74	-62.46
4.7355	-62.4715	4.74	-62.46	4.74	-62.46
4.7389	-62.4698	4.74	-62.46	4.74	-62.46
4.7423	-62.4681	4.74	-62.46	4.74	-62.46
4.7456	-62.4664	4.74	-62.46	4.74	-62.46
4.749	-62.4647	4.74	-62.46	4.74	-62.46
4.7523	-62.463	4.74	-62.46	4.74	-62.46
4.7557	-62.4613	4.74	-62.46	4.74	-62.46
4.759	-62.4596	4.74	-62.46	4.74	-62.46
4.7624	-62.4579	4.74	-62.46	4.74	-62.46
4.7657	-62.4562	4.74	-62.46	4.74	-62.46
4.7691	-62.4545	4.74	-62.46	4.74	-62.46
4.7725	-62.4528	4.8	-62.46	4.8	-62.46
4.7758	-62.4511	4.8	-62.46	4.8	-62.46
4.7792	-62.4494	4.8	-62.46	4.8	-62.46
4.7825	-62.4477	4.8	-62.46	4.8	-62.46
4.7859	-62.446	4.8	-62.46	4.8	-62.46
4.7892	-62.4443	4.8	-62.46	4.8	-62.46
4.7926	-62.4426	4.8	-62.46	4.8	-62.46
4.7959	-62.4409	4.8	-62.46	4.8	-62.46
4.7993	-62.4393	4.8	-62.46	4.8	-62.46
4.8026	-62.4376	4.8	-62.46	4.8	-62.46
4.806	-62.4359	4.8	-62.46	4.8	-62.46
4.8094	-62.4342	4.8	-62.46	4.8	-62.46
4.8127	-62.4325	4.8	-62.46	4.8	-62.46
4.8161	-62.4308	4.8	-62.46	4.8	-62.46
4.8194	-62.4291	4.8	-62.4	4.8	-62.4
4.8228	-62.4274	4.8	-62.4	4.8	-62.4
4.8261	-62.4257	4.8	-62.4	4.8	-62.4
4.8295	-62.424	4.8	-62.4	4.8	-62.4
4.8328	-62.4223	4.86	-62.4	4.86	-62.4
4.8362	-62.4206	4.86	-62.4	4.86	-62.4
4.8396	-62.4189	4.86	-62.4	4.86	-62.4
4.8429	-62.4172	4.86	-62.4	4.86	-62.4
4.8463	-62.4155	4.86	-62.4	4.86	-62.4
4.8496	-62.4138	4.86	-62.4	4.86	-62.4
4.853	-62.4121	4.86	-62.4	4.86	-62.4
4.8563	-62.4104	4.86	-62.4	4.86	-62.4
4.8597	-62.4087	4.86	-62.4	4.86	-62.4
4.863	-62.407	4.86	-62.4	4.86	-62.4
4.8664	-62.4053	4.86	-62.4	4.86	-62.4
4.8698	-62.4036	4.86	-62.4	4.86	-62.4
4.8731	-62.4019	4.86	-62.4	4.86	-62.4
4.8765	-62.4002	4.86	-62.4	4.86	-62.4
4.8798	-62.3985	4.86	-62.4	4.86	-62.4
4.8832	-62.3968	4.86	-62.4	4.86	-62.4
4.8865	-62.3951	4.86	-62.4	4.86	-62.4
4.8899	-62.3934	4.86	-62.4	4.86	-62.4
4.8932	-62.3917	4.92	-62.4	4.92	-62.4
4.8966	-62.39	4.92	-62.4	4.92	-62.4
4.9	-62.3883	4.92	-62.4	4.92	-62.4
4.9033	-62.3866	4.92	-62.4	4.92	-62.4
4.9067	-62.3849	4.92	-62.4	4.92	-62.4
4.91	-62.3832	4.92	-62.4	4.92	-62.4
4.9134	-62.3815	4.92	-62.4	4.92	-62.4
4.9167	-62.3798	4.92	-62.4	4.92	-62.4
4.9201	-62.3781	4.92	-62.4	4.92	-62.4
4.9235	-62.3764	4.92	-62.4	4.92	-62.4
4.9268	-62.3747	4.92	-62.4	4.92	-62.4
4.9302	-62.373	4.92	-62.4	4.92	-62.4
4.9335	-62.3713	4.92	-62.4	4.92	-62.4
4.9369	-62.3696	4.92	-62.34	4.92	-62.34
4.9402	-62.3679	4.92	-62.34	4.92	-62.34
4.9436	-62.3662	4.92	-62.34	4.92	-62.34
4.9469	-62.3645	4.92	-62.34	4.92	-62.34
4.9503	-62.3628	4.98	-62.34	4.98	-62.34
4.9537	-62.3611	4.98	-62.34	4.98	-62.34
4.957	-62.3594	4.98	-62.34	4.98	-62.34
4.9604	-62.3577	4.98	-62.34	4.98	-62.34
4.9637	-62.356	4.98	-62.34	4.98	-62.34
4.9671	-62.3543	4.98	-62.34	4.98	-62.34
4.9704	-62.3526	4.98	-62.34	4.98	-62.34
4.9738	-62.3509	4.98	-62.34	4.98	-62.34
4.9771	-62.3492	4.98	-62.34	4.98	-62.34
4.9805	-62.3475	4.98	-62.34	4.98	-62.34
4.9839	-62.3458	4.98	-62.34	4.98	-62.34
4.9872	-62.3441	4.98	-62.34	4.98	-62.34
4.9906	-62.3424	4.98	-62.34	4.98	-62.34
4.9939	-62.3407	4.98	-62.34	4.98	-62.34
4.9973	-62.339	4.98	-62.34	4.98	-62.34
5.0006	-62.3373	4.98	-62.34	4.98	-62.34
5.004	-62.3356	4.98	-62.34	4.98	-62.34
5.0074	-62.3339	4.98	-62.34	4.98	-62.34
5.0107	-62.3322	5.04	-62.34	5.04	-62.34
5.0141	-62.3305	5.04	-62.34	5.04	-62.34
5.0174	-62.3288	5.04	-62.34	5.04	-62.34
5.0208	-62.3271	5.04	-62.34	5.04	-62.34
5.0241	-62.3254	5.04	-62.34	5.04	-62.34
5.0275	-62.3237	5.04	-62.34	5.04	-62.34
5.0308	-62.322	5.04	-62.34	5.04	-62.34
5.0342	-62.3203	5.04	-62.34	5.04	-62.34
5.0376	-62.3186	5.04	-62.34	5.04	-62.34
5.0409	-62.3168	5.04	-62.34	5.04	-62.34
5.0443	-62.3151	5.04	-62.34	5.04	-62.34
5.0476	-62.3134	5.04	-62.34	5.04	-62.34
5.051	-62.3117	5.04	-62.34	5.04	-62.34
5.0543	-62.31	5.04	-62.34	5.04	-62.28
5.0577	-62.3083	5.04	-62.28	5.04	-62.28
5.0611	-62.3066	5.04	-62.28	5.04	-62.28
5.0644	-62.3049	5.04	-62.28	5.04	-62.28
5.0678	-62.3032	5.04	-62.28	5.04	-62.28
5.0711	-62.3015	5.1	-62.28	5.1	-62.28
5.0745	-62.2998	5.1	-62.28	5.1	-62.28
5.0778	-62.2981	5.1	-62.28	5.1	-62.28
5.0812	-62.2964	5.1	-62.28	5.1	-62.28
5.0846	-62.2947	5.1	-62.28	5.1	-62.28
5.0879	-62.293	5.1	-62.28	5.1	-62.28
5.0913	-62.2913	5.1	-62.28	5.1	-62.28
5.0946	-62.2896	5.1	-62.28	5.1	-62.28
5.098	-62.2879	5.1	-62.28	5.1	-62.28
5.1013	-62.2861	5.1	-62.28	5.1	-62.28
5.1047	-62.2844	5.1	-62.28	5.1	-62.28
5.108	-62.2827	5.1	-62.28	5.1	-62.28
5.1114	-62.281	5.1	-62.28	5.1	-62.28
5.1148	-62.2793	5.1	-62.28	5.1	-62.28
5.1181	-62.2776	5.1	-62.28	5.1	-62.28
5.1215	-62.2759	5.1	-62.28	5.1	-62.28
5.1248	-62.2742	5.1	-62.28	5.1	-62.28
5.1282	-62.2725	5.1	-62.28	5.1	-62.28
5.1315	-62.2708	5.16	-62.28	5.16	-62.28
5.1349	-62.2691	5.16	-62.28	5.16	-62.28
5.1383	-62.2674	5.16	-62.28	5.16	-62.28
5.1416	-62.2657	5.16	-62.28	5.16	-62.28
5.145	-62.264	5.16	-62.28	5.16	-62.28
5.1483	-62.2622	5.16	-62.28	5.16	-62.28
5.1517	-62.2605	5.16	-62.28	5.16	-62.28
5.155	-62.2588	5.16	-62.28	5.16	-62.28
5.1584	-62.2571	5.16	-62.28	5.16	-62.28
5.1618	-62.2554	5.16	-62.28	5.16	-62.28
5.1651	-62.2537	5.16	-62.28	5.16	-62.28
5.1685	-62.252	5.16	-62.28	5.16	-62.28
5.1718	-62.2503	5.16	-62.28	5.16	-62.28
5.1752	-62.2486	5.16	-62.22	5.16	-62.22
5.1785	-62.2469	5.16	-62.22	5.16	-62.22
5.1819	-62.2452	5.16	-62.22	5.16	-62.22
5.1853	-62.2435	5.16	-62.22	5.16	-62.22
5.1886	-62.2417	5.16	-62.22	5.16	-62.22
5.192	-62.24	5.22	-62.22	5.22	-62.22
5.1953	-62.2383	5.22	-62.22	5.22	-62.22
5.1987	-62.2366	5.22	-62.22	5.22	-62.22
5.202	-62.2349	5.22	-62.22	5.22	-62.22
5.2054	-62.2332	5.22	-62.22	5.22	-62.22
5.2087	-62.2315	5.22	-62.22	5.22	-62.22
5.2121	-62.2298	5.22	-62.22	5.22	-62.22
5.2155	-62.2281	5.22	-62.22	5.22	-62.22
5.2188	-62.2264	5.22	-62.22	5.22	-62.22
5.2222	-62.2246	5.22	-62.22	5.22	-62.22
5.2255	-62.2229	5.22	-62.22	5.22	-62.22
5.2289	-62.2212	5.22	-62.22	5.22	-62.22
5.2322	-62.2195	5.22	-62.22	5.22	-62.22
5.2356	-62.2178	5.22	-62.22	5.22	-62.22
5.239	-62.2161	5.22	-62.22	5.22	-62.22
5.2423	-62.2144	5.22	-62.22	5.22	-62.22
5.2457	-62.2127	5.22	-62.22	5.22	-62.22
5.249	-62.211	5.22	-62.22	5.22	-62.22
5.2524	-62.2092	5.28	-62.22	5.28	-62.22
5.2557	-62.2075	5.28	-62.22	5.28	-62.22
5.2591	-62.2058	5.28	-62.22	5.28	-62.22
5.2625	-62.2041	5.28	-62.22	5.28	-62.22
5.2658	-62.2024	5.28	-62.22	5.28	-62.22
5.2692	-62.2007	5.28	-62.22	5.28	-62.22
5.2725	-62.199	5.28	-62.22	5.28	-62.22
5.2759	-62.1973	5.28	-62.22	5.28	-62.22
5.2792	-62.1955	5.28	-62.22	5.28	-62.22
5.2826	-62.1938	5.28	-62.22	5.28	-62.22
5.286	-62.1921	5.28	-62.22	5.28	-62.22
5.2893	-62.1904	5.28	-62.22	5.28	-62.22
5.2927	-62.1887	5.28	-62.16	5.28	-62.16
5.296	-62.187	5.28	-62.16	5.28	-62.16
5.2994	-62.1853	5.28	-62.16	5.28	-62.16
5.3027	-62.1836	5.28	-62.16	5.28	-62.16
5.3061	-62.1818	5.28	-62.16	5.28	-62.16
5.3095	-62.1801	5.28	-62.16	5.28	-62.16
5.3128	-62.1784	5.34	-62.16	5.34	-62.16
5.3162	-62.1767	5.34	-62.16	5.34	-62.16
5.3195	-62.175	5.34	-62.16	5.34	-62.16
5.3229	-62.1733	5.34	-62.16	5.34	-62.16
5.3262	-62.1716	5.34	-62.16	5.34	-62.16
5.3296	-62.1698	5.34	-62.16	5.34	-62.16
5.333	-62.1681	5.34	-62.16	5.34	-62.16
5.3363	-62.1664	5.34	-62.16	5.34	-62.16
5.3397	-62.1647	5.34	-62.16	5.34	-62.16
5.343	-62.163	5.34	-62.16	5.34	-62.16
5.3464	-62.1613	5.34	-62.16	5.34	-62.16
5.3497	-62.1596	5.34	-62.16	5.34	-62.16
5.3531	-62.1578	5.34	-62.16	5.34	-62.16
5.3565	-62.1561	5.34	-62.16	5.34	-62.16
5.3598	-62.1544	5.34	-62.16	5.34	-62.16
5.3632	-62.1527	5.34	-62.16	5.34	-62.16
5.3665	-62.151	5.34	-62.16	5.34	-62.16
5.3699	-62.1493	5.34	-62.16	5.34	-62.16
5.3732	-62.1475	5.4	-62.16	5.4	-62.16
5.3766	-62.1458	5.4	-62.16	5.4	-62.16
5.38	-62.1441	5.4	-62.16	5.4	-62.16
5.3833	-62.1424	5.4	-62.16	5.4	-62.16
5.3867	-62.1407	5.4	-62.16	5.4	-62.16
5.39	-62.139	5.4	-62.16	5.4	-62.16
5.3934	-62.1372	5.4	-62.16	5.4	-62.16
5.3967	-62.1355	5.4	-62.16	5.4	-62.16
5.4001	-62.1338	5.4	-62.16	5.4	-62.16
5.4035	-62.1321	5.4	-62.16	5.4	-62.16
5.4068	-62.1304	5.4	-62.16	5.4	-62.16
5.4102	-62.1287	5.4	-62.1	5.4	-62.1
5.4135	-62.1269	5.4	-62.1	5.4	-62.1
5.4169	-62.1252	5.4	-62.1	5.4	-62.1
5.4202	-62.1235	5.4	-62.1	5.4	-62.1
5.4236	-62.1218	5.4	-62.1	5.4	-62.1
5.427	-62.1201	5.4	-62.1	5.4	-62.1
5.4303	-62.1184	5.46	-62.1	5.46	-62.1
5.4337	-62.1166	5.46	-62.1	5.46	-62.1
5.437	-62.1149	5.46	-62.1	5.46	-62.1
5.4404	-62.1132	5.46	-62.1	5.46	-62.1
5.4437	-62.1115	5.46	-62.1	5.46	-62.1
5.4471	-62.1098	5.46	-62.1	5.46	-62.1
5.4505	-62.108	5.46	-62.1	5.46	-62.1
5.4538	-62.1063	5.46	-62.1	5.46	-62.1
5.4572	-62.1046	5.46	-62.1	5.46	-62.1
5.4605	-62.1029	5.46	-62.1	5.46	-62.1
5.4639	-62.1012	5.46	-62.1	5.46	-62.1
5.4672	-62.0995	5.46	-62.1	5.46	-62.1
5.4706	-62.0977	5.46	-62.1	5.46	-62.1
5.474	-62.096	5.46	-62.1	5.46	-62.1
5.4773	-62.0943	5.46	-62.1	5.46	-62.1
5.4807	-62.0926	5.46	-62.1	5.46	-62.1
5.484	-62.0909	5.46	-62.1	5.46	-62.1
5.4874	-62.0891	5.46	-62.1	5.46	-62.1
5.4907	-62.0874	5.52	-62.1	5.52	-62.1
5.4941	-62.0857	5.52	-62.1	5.52	-62.1
5.4975	-62.084	5.52	-62.1	5.52	-62.1
5.5008	-62.0823	5.52	-62.1	5.52	-62.1
5.5042	-62.0805	5.52	-62.1	5.52	-62.1
5.5075	-62.0788	5.52	-62.1	5.52	-62.1
5.5109	-62.0771	5.52	-62.1	5.52	-62.1
5.5142	-62.0754	5.52	-62.1	5.52	-62.1
5.5176	-62.0736	5.52	-62.1	5.52	-62.1
5.521	-62.0719	5.52	-62.1	5.52	-62.1
5.5243	-62.0702	5.52	-62.1	5.52	-62.1
5.5277	-62.0685	5.52	-62.04	5.52	-62.04
5.531	-62.0668	5.52	-62.04	5.52	-62.04
5.5344	-62.065	5.52	-62.04	5.52	-62.04
5.5377	-62.0633	5.52	-62.04	5.52	-62.04
5.5411	-62.0616	5.52	-62.04	5.52	-62.04
5.5445	-62.0599	5.52	-62.04	5.52	-62.04
5.5478	-62.0582	5.52	-62.04	5.52	-62.04
5.5512	-62.0564	5.58	-62.04	5.58	-62.04
5.5545	-62.0547	5.58	-62.04	5.58	-62.04
5.5579	-62.053	5.58	-62.04	5.58	-62.04
5.5612	-62.0513	5.58	-62.04	5.58	-62.04
5.5646	-62.0495	5.58	-62.04	5.58	-62.04
5.568	-62.0478	5.58	-62.04	5.58	-62.04
5.5713	-62.0461	5.58	-62.04	5.58	-62.04
5.5747	-62.0444	5.58	-62.04	5.58	-62.04
5.578	-62.0427	5.58	-62.04	5.58	-62.04
5.5814	-62.0409	5.58	-62.04	5.58	-62.04
5.5847	-62.0392	5.58	-62.04	5.58	-62.04
5.5881	-62.0375	5.58	-62.04	5.58	-62.04
5.5915	-62.0358	5.58	-62.04	5.58	-62.04
5.5948	-62.034	5.58	-62.04	5.58	-62.04
5.5982	-62.0323	5.58	-62.04	5.58	-62.04
5.6015	-62.0306	5.58	-62.04	5.58	-62.04
5.6049	-62.0289	5.58	-62.04	5.58	-62.04
5.6082	-62.0271	5.58	-62.04	5.58	-62.04
5.6116	-62.0254	5.64	-62.04	5.64	-62.04
5.615	-62.0237	5.64	-62.04	5.64	-62.04
5.6183	-62.022	5.64	-62.04	5.64	-62.04
5.6217	-62.0202	5.64	-62.04	5.64	-62.04
5.625	-62.0185	5.64	-62.04	5.64	-62.04
5.6284	-62.0168	5.64	-62.04	5.64	-62.04
5.6317	-62.0151	5.64	-62.04	5.64	-62.04
5.6351	-62.0133	5.64	-62.04	5.64	-62.04
5.6385	-62.0116	5.64	-62.04	5.64	-62.04
5.6418	-62.0099	5.64	-61.98	5.64	-61.98
5.6452	-62.0082	5.64	-61.98	5.64	-61.98
5.6485	-62.0064	5.64	-61.98	5.64	-61.98
5.6519	-62.0047	5.64	-61.98	5.64	-61.98
5.6552	-62.003	5.64	-61.98	5.64	-61.98
5.6586	-62.0013	5.64	-61.98	5.64	-61.98
5.662	-61.9995	5.64	-61.98	5.64	-61.98
5.6653	-61.9978	5.64	-61.98	5.64	-61.98
5.6687	-61.9961	5.64	-61.98	5.64	-61.98
5.672	-61.9944	5.7	-61.98	5.7	-61.98
5.6754	-61.9926	5.7	-61.98	5.7	-61.98
5.6787	-61.9909	5.7	-61.98	5.7	-61.98
5.6821	-61.9892	5.7	-61.98	5.7	-61.98
5.6855	-61.9875	5.7	-61.98	5.7	-61.98
5.6888	-61.9857	5.7	-61.98	5.7	-61.98
5.6922	-61.984	5.7	-61.98	5.7	-61.98
5.6955	-61.9823	5.7	-61.98	5.7	-61.98
5.6989	-61.9805	5.7	-61.98	5.7	-61.98
5.7022	-61.9788	5.7	-61.98	5.7	-61.98
5.7056	-61.9771	5.7	-61.98	5.7	-61.98
5.709	-61.9754	5.7	-61.98	5.7	-61.98
5.7123	-61.9736	5.7	-61.98	5.7	-61.98
5.7157	-61.9719	5.7	-61.98	5.7	-61.98
5.719	-61.9702	5.7	-61.98	5.7	-61.98
5.7224	-61.9684	5.7	-61.98	5.7	-61.98
5.7257	-61.9667	5.7	-61.98	5.7	-61.98
5.7291	-61.965	5.7	-61.98	5.7	-61.98
5.7324	-61.9633	5.76	-61.98	5.76	-61.98
5.7358	-61.9615	5.76	-61.98	5.76	-61.98
5.7392	-61.9598	5.76	-61.98	5.76	-61.98
5.7425	-61.9581	5.76	-61.98	5.76	-61.98
5.7459	-61.9563	5.76	-61.98	5.76	-61.98
5.7492	-61.9546	5.76	-61.98	5.76	-61.98
5.7526	-61.9529	5.76	-61.98	5.76	-61.98
5.7559	-61.9512	5.76	-61.98	5.76	-61.98
5.7593	-61.9494	5.76	-61.92	5.76	-61.92
5.7627	-61.9477	5.76	-61.92	5.76	-61.92
5.766	-61.946	5.76	-61.92	5.76	-61.92
5.7694	-61.9442	5.76	-61.92	5.76	-61.92
5.7727	-61.9425	5.76	-61.92	5.76	-61.92
5.7761	-61.9408	5.76	-61.92	5.76	-61.92
5.7794	-61.939	5.76	-61.92	5.76	-61.92
5.7828	-61.9373	5.76	-61.92	5.76	-61.92
5.7862	-61.9356	5.76	-61.92	5.76	-61.92
5.7895	-61.9339	5.76	-61.92	5.76	-61.92
5.7929	-61.9321	5.82	-61.92	5.82	-61.92
5.7962	-61.9304	5.82	-61.92	5.82	-61.92
5.7996	-61.9287	5.82	-61.92	5.82	-61.92
5.8029	-61.9269	5.82	-61.92	5.82	-61.92
5.8063	-61.9252	5.82	-61.92	5.82	-61.92
5.8097	-61.9235	5.82	-61.92	5.82	-61.92
5.813	-61.9217	5.82	-61.92	5.82	-61.92
5.8164	-61.92	5.82	-61.92	5.82	-61.92
5.8197	-61.9183	5.82	-61.92	5.82	-61.92
5.8231	-61.9165	5.82	-61.92	5.82	-61.92
5.8264	-61.9148	5.82	-61.92	5.82	-61.92
5.8298	-61.9131	5.82	-61.92	5.82	-61.92
5.8332	-61.9113	5.82	-61.92	5.82	-61.92
5.8365	-61.9096	5.82	-61.92	5.82	-61.92
5.8399	-61.9079	5.82	-61.92	5.82	-61.92
5.8432	-61.9062	5.82	-61.92	5.82	-61.92
5.8466	-61.9044	5.82	-61.92	5.82	-61.92
5.8499	-61.9027	5.82	-61.92	5.82	-61.92
5.8533	-61.901	5.88	-61.92	5.88	-61.92
5.8567	-61.8992	5.88	-61.92	5.88	-61.92
5.86	-61.8975	5.88	-61.92	5.88	-61.92
5.8634	-61.8958	5.88	-61.92	5.88	-61.92
5.8667	-61.894	5.88	-61.92	5.88	-61.92
5.8701	-61.8923	5.88	-61.92	5.88	-61.92
5.8734	-61.8906	5.88	-61.92	5.88	-61.92
5.8768	-61.8888	5.88	-61.86	5.88	-61.86
5.8801	-61.8871	5.88	-61.86	5.88	-61.86
5.8835	-61.8854	5.88	-61.86	5.88	-61.86
5.8869	-61.8836	5.88	-61.86	5.88	-61.86
5.8902	-61.8819	5.88	-61.86	5.88	-61.86
5.8936	-61.8801	5.88	-61.86	5.88	-61.86
5.8969	-61.8784	5.88	-61.86	5.88	-61.86
5.9003	-61.8767	5.88	-61.86	5.88	-61.86
5.9036	-61.8749	5.88	-61.86	5.88	-61.86
5.907	-61.8732	5.88	-61.86	5.88	-61.86
5.9104	-61.8715	5.94	-61.86	5.94	-61.86
5.9137	-61.8697	5.94	-61.86	5.94	-61.86
5.9171	-61.868	5.94	-61.86	5.94	-61.86
5.9204	-61.8663	5.94	-61.86	5.94	-61.86
5.9238	-61.8645	5.94	-61.86	5.94	-61.86
5.9271	-61.8628	5.94	-61.86	5.94	-61.86
5.9305	-61.8611	5.94	-61.86	5.94	-61.86
5.9339	-61.8593	5.94	-61.86	5.94	-61.86
5.9372	-61.8576	5.94	-61.86	5.94	-61.86
5.9406	-61.8559	5.94	-61.86	5.94	-61.86
